BLDG_UID,NAME,BLDG_CODE,CONSTR_STATUS,OCCU_DATE,BLDG_USAGE,BLDG_SEC_USAGE,JURISDICTION,NEIGHBOURHOOD,MANAGE_ORG,BLDG_STATE,GREEN_STATUS,CONSTR_TYPE,MAX_FLOORS,BLDG_HEIGHT,GBA,REC_IDS,HAS_SUBBLDGS,GEOM_SOURCE,NOTES,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,BLDG_FORM,BLDG_CONDITION,ACCESSIBILITY_RATING,BLDG_MAINTENANCE,BLDG_CLASS,PROPERTY_TYPE,LAT,LONG
VBL10016,Totem Park Residence - q̓ələχən House,TPR4,Complete,20110823,StudentHousing,,UBC,Academic,SHHS,Occupied,REAP Gold,Concrete,8,20.19375,6729,566,0,,,RACHELW,20220712031201,RACHELW,20221215043931,Apt5StoreyPlus,Good,,UBC,B5,,-123.251545,49.259167
VBL10398,West Hampstead - Townhouses,WHM2,Complete,19931208,Housing,,UNA,Hampton,Private,Occupied,,Wood,2,13,6827,501;501-1;501-2;501-3;501-4;501-5;501-6;501-7;501-8;501-9;501-10;501-11,0,,new GBA taken from spreadsheet,GISSTUD2,20190514231435,RACHELW,20230110211725,Duplex/Townhouse,,,,B5,,-123.234582,49.257507
VBL10399,Coast - Duplexes,COSD,Complete,20090101,Housing,,UNA,Chancellor,Private,Occupied,REAP Bronze,Wood,4,12.86,3779,831-1;831-2;831-3;831-4;831-5,0,,Updated Footprint,GISSTUD2,20190514215501,RACHELW,20230110211725,Duplex/Townhouse,,,,B5,,-123.25321,49.271317
VBL10417,Thames Court - Building 1,THAC1,Complete,19920724,Housing,,UNA,Hampton,Private,Occupied,,Wood,5,16.25,4978,502;502-13;502-14,0,,new GBA taken from spreadsheet,RACHELW,20190809165721,RACHELW,20230110211725,AptLess5Storey,,,,B5,,-123.235775,49.257255
VBL10428,Conservatory - Townhouses,CSY1,PreConstruction,,Housing,,UNA,Wesbrook,Private,Unoccupied,REAP Gold,Concrete,3,,757,603-1,0,,,RACHELW,20200203175430,RACHELW,20230110211725,Duplex/Townhouse,,,,B5,,-123.232103,49.255839
VBL10427,Conservatory - Highrise,CSY2,PreConstruction,,Housing,,UNA,Wesbrook,Private,Unoccupied,REAP Gold,Concrete,20,,16729,603,0,,,RACHELW,20200203175521,RACHELW,20230110211725,Apt5StoreyPlus,,,,B5,,-123.231514,49.256042
VBL10102,P. A. Woodward Instructional Resources Centre,IRC,Complete,19720101,Academic,,UBC,Academic,UBC,Occupied,,Concrete,6,26.98,10842,473;475,0,,,,,RACHELW,20221115222549,Unspecified,Poor,,UBC,B2,,-123.246848,49.264822
VBL10318,UBC Hospital - Koerner Pavilion,KPAV,Complete,19800101,Services,Research,Non-UBC,Academic,VCH,Occupied,,Concrete,5,30.97,40372,463,0,,,,,RACHELW,20221115223028,Unspecified,,,Shared,B2,LeasedFromUBC,-123.245991,49.264151
VBL10449,Carey College Lot 40,CRYC1,PreConstruction,,Other,Housing,Non-UBC,Chancellor,Non-UBC,Unoccupied,,Wood,4,13.5,7625,,0,,,RACHELW,20220812172031,RACHELW,20230110211658,,,,,B3,LeasedFromUBC,-123.24857,49.271747
VBL10076,The Wesbrook - Townhouses,WSB2,Complete,20090101,Housing,,UNA,Wesbrook,Private,Occupied,REAP Silver,Concrete,3,7.32,1249,594,0,,new GBA taken from spreadsheet,GISSTUD2,20190514231851,RACHELW,20230110211725,Duplex/Townhouse,,,,B5,,-123.234205,49.254725
